refind,label,description,class,notes
3221,a cancer,,inm,
3222,his stomach,,bdp,
3223,this house,at 0033,inm,
3224,the bedroom,in 0223,loc,
3225,there,(?),loc,
3226,that,(?),abs,
3227,this old king beam,,inm,
3228,Badlesmere,,loc,
3229,the fair,,abs,
3230,the kids,,hum,
3231,the adults,,hum,
3232,their stock,,inm,
3233,the farms,of 0231,loc,
3234,(zero),children,hum,
3235,Canterbury Fair,,loc,
3236,Faversham Carnivals,,loc,
3237,our money,,inm,
3238,money enough,to buy out 0081,inm,
3239,the field,at 0081,loc,
3240,a pair of horses,,anm,
3241,another job,,abs,
3242,Wye,,loc,
3243,quit rent,,abs,
3244,the Lord of the Manor,,hum,
3245,that fresh mare,,anm,
3246,the pub,,inm,
3247,Charing,,loc,
3248,a man,,hum,
3249,a feed firm,,abs,
3250,a receipt,,inm,
3251,a lunch,,inm,
3252,tenants,of 0120,hum,
3253,the cart,,inm,
3254,a wall,,inm,
3255,somebody,,hum,
3256,harness,of 0245,inm,
3257,the cart,,inm,
3258,the wall,,inm,
3259,old Slippery,,hum,
3260,a cousin,,hum,
3261,Folkestone,,loc,
3262,a four-in-hand,,inm,
3263,Dover,,loc,
3264,we,speaker and man,hum,
3265,we,speaker and others in 0246,hum,
3266,a table,,inm,
3267,dinner,,inm,
3268,each plate,,inm,
3269,a little green glass,,inm,
3270,a bottle of ale,,inm,
3271,some wine,,mss,
3272,the health,of the Queen,abs,
3273,Queen Elizabeth,,hum,
3274,Queen Victoria,,hum,
3275,King Edward,,hum,
3276,the health,of the King,abs,
3277,them,little green glasses,inm,
3278,the health,of the Lord of the Manor,abs,
3279,the health,of somebody else,abs,
3280,three or four,,hum,
3281,the health,of 0280,abs,
3282,some beer,,mss,
3283,this old room,,inm,
3284,a chap,,hum,
3285,they,,hum,
3286,this josseler chap,at 0246,hum,
3287,they,people at 0242,hum,
3288,the yard,of 0081,loc,
3289,(zero),(events),abs,
3290,they,,hum,
3291,quit rent,,abs,
3292,one cottage,in Molash,inm,
3293,the other house,in Molash,inm,
3294,cobs,,anm,
3295,four or five,of 0294,anm,
3296,Butcher's farm,,loc,
3297,the agent,,hum,
3298,three acres,,abs,
3299,Sir Wayne Bolton,,hum,
3300,that,parcels of land,inm,
3301,three cottages,,inm,
3302,the other land,,inm,
3303,they,(?),hum,
3304,thirty-one,,inm,
3305,land,,inm,
3306,two acres of orchard,,inm,
3307,Adam,,hum,
3308,the main road,,inm,
3309,that,(events),abs,
3310,our own corn,,mss,
3311,oats,,mss,
3312,his horses,of 0027,anm,
3313,hay,,mss,
3314,that,crops,mss,
3315,a farm,,inm,
3316,your corn,,mss,
3317,that,(advice),abs,
3318,it,using all crops,abs,
3319,sixty acres,,inm,
3320,that,(events),abs,
3321,an old pony,,anm,
3322,the rest,of the land,anm,
3323,the horses,on 0081,anm,
3324,a couple of good horses,,anm,
3325,the same horses,,anm,
3326,one of them,,anm,
3327,another one,,anm,
3328,one,horse,anm,
3329,four,horses,anm,
3330,marks,of biting,inm,
3331,shoulder,of 0000,bdp,
3332,a horse,,anm,
3333,marks,,inm,
3334,a horse,,anm,
3335,there,eye of 0000,bdp,
3336,that eye,of 0000,bdp,
3337,'em,horses,anm,
3338,the legs,of horses,bdp,
3339,that,(events),abs,
3340,a good job,,abs,
3341,post office,,inm,
3342,the children,,hum,
3343,Sunday School,,loc,
3344,the parson,,hum,
3345,the choir,,abs,
3346,horse dealers,,hum,
3347,them,buyers of horses,hum,
3348,a horse,,anm,
3349,a man,,hum,
3350,a horse,,anm,
3351,a man,,hum,
3352,that job,,abs,
3353,a lot of pigs,,anm,
3354,a few sheep,,anm,
3355,the lambing,,abs,
3356,Adam's,farm,loc,
